기간	자치구	동	합계	합계	합계	지체	지체	지체	뇌병변	뇌병변	뇌병변	시각	시각	시각	청각	청각	청각	언어	언어	언어	지적장애	지적장애	지적장애	자폐성	자폐성	자폐성	정신장애	정신장애	정신장애	신장장애	신장장애	신장장애	심장장애	심장장애	심장장애	호흡기	호흡기	호흡기	간	간	간	안면	안면	안면	장루요루	장루요루	장루요루	뇌전증	뇌전증	뇌전증
기간	자치구	동	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자
2020	광진구	자양3동	809	468	341	347	198	149	87	48	39	81	44	37	134	64	70	8	6	2	45	32	13	22	17	5	18	7	11	50	37	13	2	2	0	4	4	0	5	3	2	0	0	0	6	6	0	0	0	0
2020	광진구	자양4동	874	513	361	435	238	197	77	40	37	84	56	28	114	77	37	4	4	0	48	29	19	3	2	1	41	21	20	46	27	19	1	1	0	3	3	0	3	3	0	0	0	0	13	11	2	2	1	1
2020	동대문구	소계	15,701	9,106	6,595	7,264	4,044	3,220	1,631	976	655	1,551	984	567	2,366	1,313	1,053	140	104	36	897	569	328	159	135	24	638	325	313	660	399	261	36	25	11	83	67	16	100	59	41	19	9	10	110	70	40	47	27	20
2020	동대문구	회기동	330	185	145	133	67	66	45	30	15	30	20	10	50	28	22	1	1	0	20	8	12	7	6	1	13	5	8	18	10	8	0	0	0	6	4	2	1	1	0	0	0	0	5	5	0	1	0	1
2020	동대문구	휘경1동	526	300	226	256	145	111	53	28	25	58	38	20	64	34	30	10	6	4	25	15	10	7	6	1	18	10	8	19	10	9	1	0	1	3	3	0	4	2	2	1	0	1	6	3	3	1	0	1
2020	동대문구	휘경2동	891	504	387	414	218	196	105	60	45	92	60	32	119	66	53	7	4	3	54	34	20	11	8	3	26	14	12	42	23	19	3	2	1	6	6	0	4	3	1	1	1	0	3	2	1	4	3	1
2020	동대문구	청량리동	1,268	727	541	601	324	277	118	75	43	131	82	49	196	104	92	8	6	2	66	45	21	9	6	3	59	31	28	52	35	17	2	1	1	5	5	0	8	4	4	3	1	2	7	5	2	3	3	0
2020	동대문구	용신동	1,466	873	593	688	393	295	142	94	48	136	91	45	241	135	106	12	8	4	70	50	20	9	8	1	66	32	34	68	42	26	2	2	0	6	5	1	11	6	5	1	1	0	10	4	6	4	2	2
2020	동대문구	제기동	1,391	792	599	634	332	302	146	92	54	153	98	55	229	130	99	12	10	2	73	45	28	8	7	1	49	20	29	56	39	17	5	3	2	3	2	1	5	3	2	1	0	1	9	5	4	8	6	2
2020	동대문구	전농1동	1,526	899	627	699	397	302	151	88	63	153	98	55	252	141	111	9	7	2	93	61	32	13	11	2	58	33	25	55	35	20	4	3	1	4	3	1	11	5	6	1	1	0	17	12	5	6	4	2
2020	동대문구	전농2동	926	522	404	430	239	191	97	55	42	85	52	33	145	77	68	11	10	1	57	34	23	7	7	0	34	15	19	42	24	18	1	0	1	6	4	2	3	1	2	1	0	1	4	3	1	3	1	2
2020	동대문구	답십리2동	1,444	832	612	659	359	300	142	89	53	157	93	64	220	131	89	13	9	4	76	45	31	17	15	2	59	30	29	58	33	25	4	2	2	14	10	4	10	7	3	1	1	0	13	8	5	1	0	1
2020	동대문구	장안1동	1,716	1,014	702	814	478	336	176	98	78	156	97	59	229	127	102	17	12	5	107	64	43	20	18	2	90	49	41	73	48	25	4	3	1	9	8	1	11	7	4	0	0	0	5	3	2	5	2	3
2020	동대문구	장안2동	1,332	783	549	614	350	264	149	96	53	121	76	45	182	96	86	13	10	3	86	52	34	16	13	3	52	27	25	60	36	24	1	1	0	10	10	0	11	6	5	2	1	1	13	7	6	2	2	0
2020	동대문구	이문1동	809	490	319	367	210	157	89	58	31	75	48	27	113	65	48	12	9	3	52	38	14	6	6	0	32	16	16	37	22	15	3	3	0	6	4	2	3	2	1	2	0	2	9	6	3	3	3	0
2020	동대문구	이문2동	995	567	428	484	267	217	99	51	48	95	59	36	155	82	73	7	6	1	56	37	19	13	10	3	34	18	16	32	20	12	2	2	0	0	0	0	9	8	1	2	2	0	5	5	0	2	0	2
2020	동대문구	답십리1동	1,081	618	463	471	265	206	119	62	57	109	72	37	171	97	74	8	6	2	62	41	21	16	14	2	48	25	23	48	22	26	4	3	1	5	3	2	9	4	5	3	1	2	4	2	2	4	1	3
2020	중랑구	소계	20,394	11,830	8,564	9,642	5,463	4,179	2,119	1,254	865	2,052	1,225	827	2,541	1,442	1,099	176	129	47	1,305	815	490	237	197	40	857	442	415	925	526	399	52	35	17	131	99	32	100	59	41	16	6	10	166	106	60	75	32	43
2020	중랑구	면목2동	1,266	739	527	638	363	275	109	72	37	130	79	51	156	87	69	9	6	3	83	55	28	12	10	2	44	20	24	64	38	26	2	1	1	8	4	4	5	2	3	0	0	0	5	2	3	1	0	1
2020	중랑구	면목4동	1,262	744	518	574	339	235	117	71	46	112	66	46	169	94	75	9	5	4	84	49	35	17	16	1	87	47	40	54	31	23	5	3	2	9	7	2	8	5	3	2	1	1	9	6	3	6	4	2
2020	중랑구	면목5동	623	404	219	277	174	103	60	36	24	63	44	19	87	54	33	9	8	1	37	26	11	8	6	2	30	18	12	30	19	11	0	0	0	5	5	0	3	3	0	1	1	0	11	9	2	2	1	1
2020	중랑구	면목7동	1,042	607	435	505	288	217	96	52	44	114	64	50	142	93	49	12	11	1	61	35	26	12	12	0	39	20	19	36	19	17	2	1	1	3	2	1	6	3	3	0	0	0	11	7	4	3	0	3
2020	중랑구	상봉1동	1,400	811	589	622	367	255	148	85	63	140	81	59	162	80	82	10	7	3	114	61	53	18	18	0	73	43	30	73	44	29	5	2	3	17	13	4	3	2	1	0	0	0	9	6	3	6	2	4
2020	중랑구	상봉2동	835	475	360	384	204	180	90	56	34	110	68	42	108	58	50	8	5	3	38	24	14	9	6	3	26	17	9	39	25	14	1	1	0	8	6	2	4	2	2	0	0	0	7	3	4	3	0	3
